# R(kpc)    v_z(km/s)    err_vz(km/s)
# 
1033.50    -58.8    50.0
2313.32    582.6    50.0
2192.39    -336.4    50.0
2775.14    1075.6    50.0
2024.24    -132.3    50.0
1775.71    459.3    50.0
1852.56    23.3    50.0
284.61    -691.9    50.0
961.39    893.0    50.0
391.67    -837.9    50.0
4097.17    484.7    50.0
1687.22    2084.7    50.0
1925.78    -820.6    50.0
747.01    -8.1    50.0
112.20    -1005.9    50.0
623.83    -248.3    50.0
1620.74    1204.5    50.0
384.18    -995.8    50.0
1369.02    1541.6    50.0
1079.07    941.3    50.0
3395.56    -16.8    50.0
2439.78    568.8    50.0
605.84    514.8    50.0
541.53    -840.0    50.0
4059.73    645.0    50.0
2973.74    -476.1    50.0
623.31    -291.0    50.0
1535.93    639.1    50.0
1837.20    1815.0    50.0
177.66    2427.3    50.0
8793.63    309.1    50.0
2422.03    -1703.4    50.0
1676.59    -645.6    50.0
1801.52    318.4    50.0
780.34    -1629.3    50.0
1339.41    175.3    50.0
1033.05    -404.5    50.0
470.21    760.2    50.0
684.51    576.7    50.0
285.09    -193.4    50.0
1077.67    -874.5    50.0
143.36    -324.5    50.0
843.29    585.4    50.0
1482.07    1232.0    50.0
1138.43    346.5    50.0
1179.20    -47.7    50.0
1389.59    -21.1    50.0
266.91    1397.2    50.0
1745.07    1456.3    50.0
1866.44    -278.4    50.0
1382.84    -2229.7    50.0
1796.10    -249.9    50.0
1507.81    122.7    50.0
859.99    -2320.5    50.0
2115.10    284.8    50.0
2258.16    562.7    50.0
2846.76    265.5    50.0
3378.78    1057.4    50.0
4490.95    -1114.0    50.0
238.43    303.7    50.0
1547.43    -2001.1    50.0
1215.70    188.1    50.0
1462.93    180.5    50.0
1844.47    1121.3    50.0
979.69    719.5    50.0
1983.76    1344.3    50.0
167.44    565.5    50.0
2157.34    642.2    50.0
578.98    -20.1    50.0
922.82    -638.1    50.0
539.36    -1207.5    50.0
931.80    -616.5    50.0
1366.14    -754.4    50.0
850.14    -940.8    50.0
819.97    -1164.8    50.0
405.00    -1346.4    50.0
458.24    -882.2    50.0
2066.57    283.5    50.0
996.10    420.5    50.0
450.12    -129.5    50.0
523.09    1237.6    50.0
377.67    -182.0    50.0
540.46    1514.4    50.0
1821.79    -1317.4    50.0
1325.65    -1240.4    50.0
49.40    -1342.0    50.0
857.18    -886.0    50.0
798.62    2524.9    50.0
1696.90    182.3    50.0
1023.28    -766.2    50.0
1438.27    57.9    50.0
440.20    -1341.0    50.0
1783.42    -351.0    50.0
1339.62    1183.1    50.0
627.12    -1808.4    50.0
1412.89    -512.4    50.0
1395.71    -591.1    50.0
501.34    -1153.7    50.0
792.76    -158.8    50.0
963.57    -296.1    50.0
362.45    -1812.3    50.0
1401.00    327.2    50.0
4273.21    -1032.9    50.0
1546.46    1247.4    50.0
922.26    1215.1    50.0
707.76    2712.8    50.0
1888.14    475.9    50.0
1500.58    -650.1    50.0
622.92    844.9    50.0
3001.92    -120.5    50.0
335.54    -600.6    50.0
291.92    -1268.8    50.0
1629.54    -1431.8    50.0
887.20    775.2    50.0
2705.74    468.1    50.0
4604.25    -736.8    50.0
933.32    -1432.9    50.0
624.32    326.8    50.0
775.43    880.0    50.0
1289.30    177.3    50.0
1028.64    657.2    50.0
2758.64    222.7    50.0
1973.20    1337.8    50.0
827.39    479.6    50.0
2977.73    -164.7    50.0
386.86    1400.9    50.0
66.88    300.7    50.0
1834.01    -195.8    50.0
1621.04    -966.5    50.0
1032.40    -1185.2    50.0
4891.60    -913.6    50.0
2775.47    -117.7    50.0
1479.95    -1003.3    50.0
1739.18    -939.1    50.0
310.20    2419.2    50.0
762.44    -229.1    50.0
2079.27    687.6    50.0
2808.01    1162.5    50.0
2683.73    -860.8    50.0
2835.78    -186.7    50.0
1007.79    1805.2    50.0
123.03    1692.4    50.0
150.83    -629.7    50.0
2768.88    1024.2    50.0
977.88    -1243.6    50.0
1259.73    -238.9    50.0
5042.40    -847.1    50.0
580.33    1022.0    50.0
2633.18    55.4    50.0
1016.53    630.4    50.0
737.38    -426.4    50.0
1744.98    -476.4    50.0
5161.19    506.9    50.0
277.93    -1852.8    50.0
1747.50    -869.5    50.0
1686.68    1459.2    50.0
500.63    809.1    50.0
1215.98    17.6    50.0
3869.80    877.7    50.0
1613.29    537.6    50.0
6534.05    27.1    50.0
360.29    561.8    50.0
744.62    1020.9    50.0
4454.70    -6.7    50.0
405.94    -1156.6    50.0
254.70    -696.9    50.0
2064.16    37.3    50.0
1014.83    -1981.5    50.0
2163.08    -820.5    50.0
132.47    903.4    50.0
1796.59    1854.0    50.0
511.38    -876.9    50.0
1442.85    -24.9    50.0
5583.93    -683.8    50.0
1717.36    -1050.6    50.0
1253.72    -133.2    50.0
1429.14    281.2    50.0
419.24    -425.1    50.0
1269.07    1236.8    50.0
106.03    213.1    50.0
266.95    -1833.0    50.0
618.07    -1372.7    50.0
276.55    1310.7    50.0
2017.02    919.9    50.0
2663.24    -265.2    50.0
1115.39    741.6    50.0
444.09    -788.3    50.0
384.11    -1093.7    50.0
341.07    -632.4    50.0
757.49    983.0    50.0
1320.05    -1241.2    50.0
1715.22    -370.3    50.0
1824.00    -1741.1    50.0
2561.09    1041.4    50.0
2355.65    -13.6    50.0
1244.45    229.8    50.0
350.88    1596.4    50.0
2608.63    -548.4    50.0
1295.10    372.6    50.0
1260.07    -404.1    50.0
905.85    -62.1    50.0
24.29    621.6    50.0
1998.20    375.9    50.0
144.40    -539.4    50.0
2224.66    1442.4    50.0
2255.93    661.9    50.0
907.88    -547.9    50.0
2351.56    1174.0    50.0
585.16    1395.5    50.0
2020.02    -200.8    50.0
414.25    1471.0    50.0
2292.65    594.4    50.0
2084.49    11.9    50.0
531.09    60.6    50.0
926.51    -1701.0    50.0
2291.84    138.6    50.0
2305.18    -378.7    50.0
1292.58    1021.2    50.0
2360.19    -542.8    50.0
3014.13    -1091.5    50.0
2596.39    -243.0    50.0
1136.20    -755.0    50.0
48.12    -1366.4    50.0
1431.49    1238.9    50.0
574.06    94.5    50.0
407.19    876.7    50.0
1236.31    20.8    50.0
408.85    -2850.2    50.0
2234.90    1241.7    50.0
1824.35    -499.9    50.0
1546.23    145.1    50.0
294.14    -2457.6    50.0
4556.93    663.3    50.0
1384.81    -1396.1    50.0
1763.22    739.9    50.0
1047.13    -616.6    50.0
1107.26    1892.7    50.0
3003.20    321.9    50.0
1724.80    460.0    50.0
1301.67    -430.3    50.0
1352.43    782.5    50.0
293.95    -534.3    50.0
1614.42    -481.9    50.0
802.65    -428.4    50.0
518.56    955.9    50.0
675.21    -1781.7    50.0
2759.67    -339.1    50.0
1091.24    115.3    50.0
448.34    1899.5    50.0
1881.52    503.9    50.0
1081.61    -638.9    50.0
2124.60    -1002.1    50.0
426.67    -807.3    50.0
2365.22    198.0    50.0
3583.14    -1131.0    50.0
3287.48    -837.4    50.0
612.84    -927.2    50.0
2077.89    -64.2    50.0
3064.42    -39.3    50.0
1795.64    574.9    50.0
1806.38    -1831.6    50.0
712.93    -1473.8    50.0
1729.24    1027.3    50.0
337.68    1049.3    50.0
77.21    764.9    50.0
1018.32    -1208.4    50.0
2246.67    -1457.3    50.0
872.30    607.4    50.0
1454.90    542.5    50.0
548.86    -1020.5    50.0
3410.69    -734.1    50.0
2329.16    396.9    50.0
1081.30    1472.2    50.0
1833.20    -132.4    50.0
1962.80    -92.0    50.0
1062.34    -633.3    50.0
1991.60    -1120.0    50.0
678.35    -668.6    50.0
2910.99    -237.8    50.0
1154.76    -796.3    50.0
2721.71    189.7    50.0
2656.43    538.9    50.0
1566.15    1514.7    50.0
1220.35    -1798.2    50.0
1166.51    -305.1    50.0
303.44    2262.4    50.0
1418.01    -1427.2    50.0
124.06    116.2    50.0
3233.71    -517.6    50.0
126.73    19.6    50.0
835.19    -655.0    50.0
2029.22    -31.7    50.0
1488.40    -1524.3    50.0
1464.71    -874.6    50.0
322.50    1400.4    50.0
1150.40    524.4    50.0
491.22    -1017.0    50.0
564.32    -1871.4    50.0
754.36    -488.5    50.0
838.57    -1001.7    50.0
1274.75    -874.6    50.0
1363.44    1118.2    50.0
1083.66    -942.7    50.0
2444.19    -789.1    50.0
619.02    1318.2    50.0
565.71    -342.5    50.0
5260.39    -485.2    50.0
594.73    -235.8    50.0
2924.49    -603.7    50.0
722.70    1486.1    50.0
677.05    927.3    50.0
1417.73    -68.8    50.0
2157.08    -57.4    50.0
527.34    590.5    50.0
984.95    799.0    50.0
4771.13    488.5    50.0
4336.76    300.4    50.0
1930.82    696.0    50.0
1160.65    -738.1    50.0
176.18    -379.0    50.0
5158.25    39.0    50.0
1419.94    605.2    50.0
1027.46    -1623.8    50.0
2692.55    578.8    50.0
292.23    -1469.3    50.0
2700.57    538.1    50.0
736.49    258.3    50.0
958.60    1761.0    50.0
363.53    -514.3    50.0
260.90    -490.4    50.0
911.56    915.9    50.0
2259.86    -1971.1    50.0
4721.48    -347.9    50.0
1132.90    329.2    50.0
1174.39    -195.5    50.0
1680.51    1032.6    50.0
1231.48    -284.0    50.0
1021.22    -545.6    50.0
688.75    -703.8    50.0
1303.87    -431.5    50.0
1225.12    193.5    50.0
1296.35    -184.2    50.0
187.78    116.2    50.0
3841.12    -330.3    50.0
280.25    911.4    50.0
715.34    -578.5    50.0
1168.61    1147.2    50.0
653.05    -319.3    50.0
1589.41    244.7    50.0
656.62    718.5    50.0
1973.82    660.2    50.0
1904.66    -1235.8    50.0
1060.98    -87.9    50.0
2031.29    -613.4    50.0
719.21    -535.9    50.0
1769.25    -296.8    50.0
833.91    -787.2    50.0
1591.34    197.6    50.0
377.39    -701.2    50.0
1710.29    827.4    50.0
1573.39    -71.0    50.0
516.00    375.1    50.0
2285.55    -211.5    50.0
1326.28    341.2    50.0
918.50    218.6    50.0
533.84    -80.7    50.0
2298.34    190.1    50.0
1621.47    239.4    50.0
2611.66    -104.8    50.0
448.63    592.8    50.0
1362.39    149.6    50.0
2421.68    151.4    50.0
284.70    -145.4    50.0
1446.47    182.8    50.0
948.61    2240.5    50.0
2068.14    1426.2    50.0
1911.60    -1377.2    50.0
749.41    -1106.8    50.0
1321.49    361.5    50.0
163.21    71.1    50.0
3485.17    -627.8    50.0
3169.36    374.6    50.0
1605.51    -1913.1    50.0
2052.97    -1486.6    50.0
4612.45    -579.9    50.0
3117.29    -1363.9    50.0
1255.88    657.5    50.0
1039.76    -462.5    50.0
61.62    -1292.6    50.0
1676.00    -2170.9    50.0
1268.50    638.8    50.0
371.27    604.9    50.0
849.33    448.3    50.0
1101.62    16.6    50.0
821.78    -10.5    50.0
526.82    551.2    50.0
5216.13    901.5    50.0
4782.21    604.8    50.0
2269.96    612.7    50.0
558.86    -976.6    50.0
1965.29    703.3    50.0
695.99    683.4    50.0
3436.36    -896.9    50.0
342.47    1165.0    50.0
565.07    -610.2    50.0
2539.11    242.0    50.0
223.44    1143.9    50.0
2797.46    1183.5    50.0
1090.71    881.1    50.0
196.14    -548.9    50.0
1510.75    -652.9    50.0
1326.39    503.4    50.0
1531.44    603.0    50.0
1501.40    -39.3    50.0
2281.32    1022.6    50.0
1986.47    1386.3    50.0
393.15    -470.1    50.0
3661.76    -1038.0    50.0
2354.70    301.4    50.0
979.15    -891.2    50.0
637.61    -1327.9    50.0
1503.66    -90.3    50.0
918.06    -154.0    50.0
1987.29    -55.8    50.0
534.34    -353.6    50.0
625.99    -1419.9    50.0
811.95    -198.5    50.0
1928.76    39.6    50.0
296.67    966.3    50.0
1280.21    261.3    50.0
756.57    -1272.0    50.0
1795.47    1025.2    50.0
87.60    289.4    50.0
2582.68    -1236.3    50.0
1699.11    -1047.1    50.0
169.95    412.4    50.0
268.36    616.5    50.0
2050.70    -89.2    50.0
1435.22    -1632.6    50.0
411.47    -890.0    50.0
207.41    -397.2    50.0
700.68    -575.2    50.0
1629.46    -391.4    50.0
1018.55    -894.6    50.0
1283.54    -30.7    50.0
481.58    -1135.0    50.0
308.84    -41.6    50.0
399.53    1319.2    50.0
1143.89    1103.7    50.0
1661.61    -1381.2    50.0
1383.31    -1162.5    50.0
2022.95    -1388.0    50.0
876.83    -611.5    50.0
3949.19    1303.7    50.0
673.91    204.9    50.0
855.65    962.1    50.0
2699.36    -547.6    50.0
59.36    63.5    50.0
2210.13    594.4    50.0
1720.42    -860.3    50.0
572.75    1135.5    50.0
417.13    -1213.1    50.0
420.48    1579.7    50.0
884.19    -75.9    50.0
337.80    67.9    50.0
279.99    1955.3    50.0
2178.63    1242.3    50.0
1670.87    627.4    50.0
1969.30    669.2    50.0
2039.91    571.6    50.0
277.13    -398.6    50.0
388.44    -447.9    50.0
607.27    558.4    50.0
462.33    -1696.9    50.0
997.70    120.8    50.0
1879.61    -18.5    50.0
2824.17    -1642.2    50.0
2207.43    -1066.5    50.0
1112.59    -621.9    50.0
687.38    647.3    50.0
897.61    609.6    50.0
1553.52    444.4    50.0
2553.93    1566.7    50.0
2503.85    282.7    50.0
265.71    746.3    50.0
966.42    949.7    50.0
330.67    75.2    50.0
2701.30    -818.4    50.0
731.31    767.8    50.0
3263.36    -796.3    50.0
449.97    -1206.0    50.0
1681.10    376.6    50.0
1782.73    -232.3    50.0
1033.14    177.6    50.0
1509.51    613.6    50.0
258.59    -1463.7    50.0
1725.23    -506.9    50.0
2191.79    372.8    50.0
874.49    925.9    50.0
1429.38    -605.1    50.0
3337.45    513.6    50.0
728.62    1538.9    50.0
943.38    328.3    50.0
1407.58    1304.8    50.0
3481.86    502.3    50.0
2803.61    -1852.8    50.0
424.03    626.1    50.0
2035.73    -491.7    50.0
694.69    672.7    50.0
480.58    -696.4    50.0
1289.01    -1037.7    50.0
143.51    2373.5    50.0
1172.94    -285.4    50.0
2276.13    857.4    50.0
827.44    -1199.7    50.0
2939.48    -320.9    50.0
330.13    2548.3    50.0
3732.39    661.6    50.0
334.16    -674.2    50.0
1061.59    -2001.3    50.0
2707.37    -315.5    50.0
1098.13    -381.4    50.0
636.01    -1049.3    50.0
748.55    -1343.8    50.0
1269.63    292.9    50.0
2103.29    -226.6    50.0
924.65    2256.8    50.0
4910.47    -128.1    50.0
1101.91    -582.5    50.0
1060.48    1343.3    50.0
2256.30    -116.2    50.0
319.68    -846.4    50.0
916.46    -124.9    50.0
1092.75    -718.2    50.0
785.90    855.1    50.0
1620.10    -69.4    50.0
3628.33    -693.5    50.0
1367.01    1218.1    50.0
426.88    -75.8    50.0
1503.48    -729.0    50.0
2935.20    240.7    50.0
1429.23    -332.8    50.0
2253.14    -406.5    50.0
846.88    396.8    50.0
1339.22    641.6    50.0
994.06    1714.7    50.0
2867.87    -485.1    50.0
371.50    -412.2    50.0
2279.97    -1024.7    50.0
2351.82    272.7    50.0
1640.21    -853.3    50.0
594.15    -90.6    50.0
2960.69    -716.4    50.0
1976.73    1446.8    50.0
3689.46    180.0    50.0
1158.72    -542.4    50.0
1371.95    75.3    50.0
2145.16    970.7    50.0
257.39    1276.0    50.0
2301.14    -376.8    50.0
2020.22    -1536.3    50.0
1391.27    1732.6    50.0
3041.07    -804.6    50.0
1711.39    -265.9    50.0
1475.84    -995.7    50.0
1217.77    809.5    50.0
394.12    -1150.7    50.0
1915.81    398.6    50.0
464.69    1306.4    50.0
371.25    261.9    50.0
351.01    1372.1    50.0
680.98    -940.0    50.0
1338.49    1324.0    50.0
1786.72    -157.4    50.0
2848.44    -1210.5    50.0
163.16    519.6    50.0
1715.05    768.1    50.0
346.12    -720.9    50.0
3171.81    -988.6    50.0
1425.95    -68.2    50.0
2710.36    65.9    50.0
2240.95    -351.3    50.0
1983.79    0.7    50.0
2020.71    -294.8    50.0
1134.40    -298.3    50.0
2996.35    373.8    50.0
1357.11    -92.8    50.0
1193.64    382.9    50.0
1451.40    -557.9    50.0
5055.45    -160.5    50.0
1786.05    -232.4    50.0
285.60    625.0    50.0
1008.53    159.0    50.0
3308.97    140.9    50.0
2641.68    -312.6    50.0
2202.78    701.7    50.0
1184.18    419.4    50.0
2945.03    -218.8    50.0
4322.81    821.2    50.0
2369.77    -34.8    50.0
504.25    -218.8    50.0
739.44    1623.2    50.0
1337.99    1637.7    50.0
2044.23    422.1    50.0
3390.33    -751.1    50.0
3643.61    -397.9    50.0
890.32    1120.3    50.0
2380.21    609.1    50.0
1350.73    -412.7    50.0
4130.26    -707.1    50.0
2951.12    -215.1    50.0
880.19    -1468.4    50.0
1181.43    581.3    50.0
32.04    -1338.6    50.0
638.11    1155.1    50.0
