# R(kpc)    v_z(km/s)    err_vz(km/s)
# 
2454.55    -1211.0    50.0
1020.19    -835.0    50.0
510.42    -208.8    50.0
2731.54    748.8    50.0
1251.22    -2152.8    50.0
1347.59    -1067.7    50.0
339.75    2440.7    50.0
2221.87    -271.8    50.0
1050.82    119.5    50.0
1392.61    29.8    50.0
352.85    -885.5    50.0
2377.20    406.4    50.0
453.36    1604.9    50.0
2741.41    -782.9    50.0
158.11    -488.0    50.0
2427.32    1385.6    50.0
672.76    -29.1    50.0
68.76    -861.4    50.0
134.02    -1827.7    50.0
388.47    40.7    50.0
1584.74    1021.3    50.0
1143.89    -1637.2    50.0
2848.55    -1729.3    50.0
1695.45    59.1    50.0
598.94    -1235.8    50.0
1401.03    -2053.9    50.0
3360.30    -817.0    50.0
211.45    -561.1    50.0
314.02    -829.4    50.0
50.58    -147.5    50.0
71.27    -48.6    50.0
1991.26    -235.2    50.0
2089.97    -404.0    50.0
399.23    483.5    50.0
1368.67    -276.8    50.0
933.71    1258.8    50.0
1241.63    382.0    50.0
1688.77    438.8    50.0
1834.70    -668.6    50.0
503.69    577.2    50.0
2477.60    145.2    50.0
253.87    -1312.1    50.0
1689.56    228.6    50.0
2395.97    -824.0    50.0
2476.03    -337.1    50.0
1029.55    1262.5    50.0
145.59    -1362.7    50.0
67.05    718.7    50.0
1048.15    276.8    50.0
493.79    -378.3    50.0
792.89    -1002.1    50.0
1347.35    698.6    50.0
2171.55    697.5    50.0
1136.85    895.8    50.0
380.07    39.2    50.0
1419.99    929.8    50.0
1700.48    -593.1    50.0
855.69    575.6    50.0
1511.35    1137.0    50.0
484.38    -282.7    50.0
2834.13    -1278.7    50.0
5078.66    212.8    50.0
52.93    -61.4    50.0
850.72    459.9    50.0
261.96    -1660.4    50.0
272.11    -1694.8    50.0
1417.41    627.9    50.0
3290.82    -923.2    50.0
1369.56    -995.2    50.0
893.77    -1067.5    50.0
25.90    1069.4    50.0
1528.68    34.6    50.0
1253.03    -129.8    50.0
4009.57    995.8    50.0
901.30    170.1    50.0
3911.02    -660.6    50.0
418.09    2486.7    50.0
2347.38    365.1    50.0
216.47    -1070.8    50.0
1326.69    1716.9    50.0
2910.26    654.8    50.0
2567.87    -1297.2    50.0
801.24    605.0    50.0
618.10    -1113.0    50.0
364.85    -1447.5    50.0
3546.60    711.9    50.0
192.94    667.2    50.0
631.23    -48.2    50.0
4131.21    297.8    50.0
827.47    420.2    50.0
287.02    799.0    50.0
428.39    -1261.2    50.0
6173.61    271.5    50.0
2186.92    -268.1    50.0
2286.05    501.8    50.0
1912.80    -1379.2    50.0
1403.70    -1386.5    50.0
4538.77    269.4    50.0
1126.29    1129.7    50.0
1530.52    -1457.0    50.0
32.36    584.6    50.0
700.88    665.9    50.0
2497.52    -550.7    50.0
223.98    1360.3    50.0
2028.86    -170.3    50.0
88.35    -282.9    50.0
